Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Liver Cancer,2010,NCI,5P01CA123328-04,0002,HEPATIC CARCINOGENESIS INDUCED BY HEPATITIS B VIRUS PreS2 MUTANT,"YEN, TIEN-SZE",NORTHERN CALIFORNIA INSTITUTE RES & EDUC,CA,"$492,192"
Liver Cancer,2010,NCI,5P01CA123328-04,0003,Role of Inflammation and DNA Damage-Repair in HCV Carcinogenesis,"LAI, MICHAEL",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$281,866"
Liver Cancer,2010,NIEHS,5P01ES006052-17,0005,RESEARCH PROJECT 1: Chemical and Viral Biomarkers of Exposure and Risk (Groopman),"GROOPMAN, JOHN",JOHNS HOPKINS UNIVERSITY,MD,"$412,617"
Liver Cancer,2010,NIMHD,5P60MD000538-08,0004,Hepatitis B infection & hepatocellular carcinoma in Asian Americans,"POLLACK, HENRY",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$498,905"
Liver Cancer,2010,NCI,5S06GM008012-40,0010,Identifying Tumor-Associated Antigens for Detection of Hepatocellular Carcinoma,"ZHANG, JIANYING",UNIVERSITY OF TEXAS EL PASO,TX,"$11,043"
Liver Cancer,2010,NIGMS,5S06GM008012-40,0010,Identifying Tumor-Associated Antigens for Detection of Hepatocellular Carcinoma,"ZHANG, JIANYING",UNIVERSITY OF TEXAS EL PASO,TX,"$97,355"
Liver Cancer,2010,NCI,Y1CN4002-9-0-1,,Diet-induced hypomethylation in the preneoplastic liver,NO PI IDENTIFIED,NIH,,"$80,000"
Liver Cancer,2010,NIAAA,3R01AA008169-20S2,,HCV in Alcoholics,"WANDS, JACK",RHODE ISLAND HOSPITAL,RI,"$11,802"
Liver Cancer,2010,NIAID,1R56AI078881-01A1,,Collaborative Integration of HCV Molecular Virology and Mathematical Modeling,"UPRICHARD, SUSAN",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$420,869"
Liver Cancer,2010,NCI,3R01CA131133-03S1,,Viral Vaccine Vectors to Prevent Hepatocellular Carcinoma,"ROBEK, MICHAEL",YALE UNIVERSITY,CT,"$47,381"
Liver Cancer,2010,NCI,4R33CA121051-03,,MR Spectroscopy to Evaluate Liver Repopulation by Transplanted Hepatocytes,"GUHA, CHANDAN",ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NY,"$490,349"
Liver Cancer,2010,NCI,5P01CA059827-15,0009,INDIVIDUALIZED DOSE ESCALATION IN VOLUME-EFFECT ORGANS,"LAWRENCE, THEODORE",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$408,009"
Liver Cancer,2010,NCI,5P01CA084203-07,7850,Clinical Photodynamic Therapy for Pancreatic and Biliary Tract Cancer,"PEREIRA, STEPHEN",UNIVERSITY OF LONDON,UK,"$219,611"
Liver Cancer,2010,NIAID,5U19AI082642-02,8115,Dendritic cell-based vaccination against hepatitis C,"GREGORY, STEPHEN",UNIVERSITY OF RHODE ISLAND,RI,"$610,608"
Liver Cancer,2010,NIAID,3R01AI077757-02S1,,Mechanisms of Immune Evasion by Hepatitis C Virus,"COX, ANDREA",JOHNS HOPKINS UNIVERSITY,MD,"$49,446"
Liver Cancer,2010,NCI,3U01CA084951-10S4,,Early Detection of Liver Cancer,"BLOCK, TIMOTHY",DREXEL UNIVERSITY,PA,"$154,000"
Liver Cancer,2010,NCI,5U54CA126513-05,0002,Stromal Myofibroblasts in Hepatic Carcinogenesis,"BRENNER, DAVID",COLUMBIA UNIVERSITY,NY,"$274,030"
Liver Cancer,2010,NCI,5U54CA126513-05,0003,Epigenetics and Genetics of Stromal Cells in Liver and Gastric Cancer,"TYCKO, BENJAMIN",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$156,589"
Liver Cancer,2010,NCI,5P20CA150343-02,5626,Hepatitis C and Tumor Suppressors in Hepatocellular,"LEMON, STANLEY",UNIVERSITY OF KENTUCKY,KY,"$291,609"
Liver Cancer,2010,NCI,3R44CA134169-03S1,,Precisely Shaped Acoustic Ablation of Tumors Under 3D Ultrasound Image Guidance,"BURDETTE, EVERETTE","ACOUSTIC MEDSYSTEMS, INC.",IL,"$85,424"
Liver Cancer,2010,NIAAA,3R01AA009231-18S1,,Alcohol-induced liver fibrosis:an in vitro model,"ROJKIND, MARCOS",GEORGE WASHINGTON UNIVERSITY,DC,"$20,000"
