Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Colo-Rectal Cancer,2009,NCI,5R01CA123010-03,,Genetics of Serrated Neoplasia,"YOUNG, JOANNE",QUEENSLAND INSTITUTE OF MEDICAL RESEARCH,AUSTRA,"$235,483"
Colo-Rectal Cancer,2009,NCI,5R01CA107333-05,,Molecular Epidemiology of Colorectal Cancer Subtypes,"LIMBURG, PAUL","MAYO CLINIC COLL OF MEDICINE, ROCHESTER",MN,"$190,878"
Colo-Rectal Cancer,2009,NIEHS,5R01ES012695-04,,Pathways to Mutagenesis in vivo and in Stem Cells,"STAMBROOK, PETER",UNIVERSITY OF CINCINNATI,OH,"$365,286"
Colo-Rectal Cancer,2009,NIGMS,5R01GM081686-02,,The Role of MicroRNAs in Cellular Quiescence,"COLLER, HILARY",PRINCETON UNIVERSITY,NJ,"$280,532"
Colo-Rectal Cancer,2009,NCI,5R01CA080205-10,,THE SINGAPORE COHORT STUDY OF DIET AND CANCER,"YUAN, JIAN-MIN",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$304,536"
Colo-Rectal Cancer,2009,NCI,5R01CA092447-08,,Southern Community Cohort Study,"BLOT, WILLIAM",VANDERBILT UNIVERSITY,TN,"$5,747,185"
Colo-Rectal Cancer,2009,NCI,5K07CA107412-05,,Prospective Studies of Colorectal Adenoma,"CHAN, ANDREW",MASSACHUSETTS GENERAL HOSPITAL,MA,"$140,130"
Colo-Rectal Cancer,2009,NCI,5R03CA136026-02,,Aspirin pharmacogenetics in the Aspirin/Folate Polyp Prevention Trial,"MAKAR, KAREN",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$84,375"
Colo-Rectal Cancer,2009,NCI,5R37CA057345-18,,Genes from the FAP Locus,"KINZLER, KENNETH",JOHNS HOPKINS UNIVERSITY,MD,"$524,256"
Colo-Rectal Cancer,2009,NCI,5R01CA105038-05,,APC Tumor Suppressor in Cell Differentiation and Death,"AHMED, YASMATH",DARTMOUTH COLLEGE,NH,"$239,551"
Colo-Rectal Cancer,2009,NCI,5R01CA125535-03,,Mechanism of beta-catenin and APC-regulated transcription of Wnt target genes,"JONES, KATHERINE",SALK INSTITUTE FOR BIOLOGICAL STUDIES,CA,"$451,384"
Colo-Rectal Cancer,2009,NCI,5R01CA102695-05,,Two Delivery Channels to Improve CRC Screening,"WEINBERG, DAVID",FOX CHASE CANCER CENTER,PA,"$427,969"
Colo-Rectal Cancer,2009,NCI,1P01CA132714-01A1,8080,Tumor-Specific Chemokine Modulation in Colorectal Cancer Versus Melanoma,"KALINSKI, PAWEL",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$227,763"
Colo-Rectal Cancer,2009,NCI,1P01CA132714-01A1,8082,Tumor-Selective Oncolytic Vaccinia Virus and alphaDC1-Based Vaccine as a Combinat,"BARTLETT, DAVID",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$242,248"
Colo-Rectal Cancer,2009,NCI,5K24CA113755-04,,Wound Angiogenesis as a Biomarker for Tumor Angiogenesis,"HURWITZ, HERBERT",DUKE UNIVERSITY,NC,"$124,659"
Colo-Rectal Cancer,2009,NCMHD,5R24MD002805-02,,Colorectal Cancer Education and Screening Program (CCESP),"HENRY-TILLMAN, RONDA",UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK,AR,"$492,867"
Colo-Rectal Cancer,2009,NCI,5K07CA122451-03,,"Diet, Genetics, Epigenetics and Colorectal Adenoma Risk.","SHRUBSOLE, MARTHA",VANDERBILT UNIVERSITY,TN,"$131,058"
Colo-Rectal Cancer,2009,NIGMS,5R01GM065926-07,,The biology of gastrin-ferric ion complexes,"BALDWIN, GRAHAM",UNIVERSITY OF MELBOURNE,AUSTRA,"$157,303"
Colo-Rectal Cancer,2009,NIDDK,1R01DK083745-01A1,,Improving Colonoscopy Quality through Automated Monitoring,"DE GROEN, PETRUS","MAYO CLINIC COLL OF MEDICINE, ROCHESTER",MN,"$238,105"
Colo-Rectal Cancer,2009,NCI,5R01CA071508-12,,BIOLOGY AND PATHOLOGY OF A MODULATOR OF FGF,"WELLSTEIN, ANTON",GEORGETOWN UNIVERSITY,DC,"$280,788"
Colo-Rectal Cancer,2009,NCI,1R01CA127943-01A2,,Colon Cancer Prevention with Selenium,"DIAMOND, ALAN",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$308,743"
Colo-Rectal Cancer,2009,NCI,5R21CA122622-02,,Role of Aldose Reductase-Like-1 in Colon Tumorigenesis,"CAO, DELIANG",SOUTHERN ILLINOIS UNIVERSITY SCH OF MED,IL,"$196,425"
Colo-Rectal Cancer,2009,NCI,5R03CA130062-02,,"Chemoprevention of Familial Adenomatous Polyposis by a Combination of  3,3?-Diind","GUO, BIN",NORTH DAKOTA STATE UNIVERSITY,ND,"$71,750"
Colo-Rectal Cancer,2009,NCI,5R01CA112516-05,,NSAID and COX/PG Metabolism and Colorectal Cancer,"ULRICH, CORNELIA",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$679,705"
Colo-Rectal Cancer,2009,NCI,5R01CA114472-04,,LIPID PEROXIDATION IN COLORECTAL CANCER,"GAGO-DOMINGUEZ, MANUELA",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$492,369"
Colo-Rectal Cancer,2009,NCI,5R01CA125760-03,,Regulation of c-Myc Transcriptional Activity and Function,"HANN, STEPHEN",VANDERBILT UNIVERSITY,TN,"$341,231"
Colo-Rectal Cancer,2009,NCI,1R01CA139454-01,,Colon Cancer Prevention with Phospho-Sulindac,"RIGAS, BASIL",STATE UNIVERSITY NEW YORK STONY BROOK,NY,"$322,096"
Colo-Rectal Cancer,2009,NCI,1R01CA123438-01A2,,"Polyclonal Intestinal Tumors:  Formation, Progression, and Significance","HALBERG, RICHARD",UNIVERSITY OF WISCONSIN MADISON,WI,"$308,138"
Colo-Rectal Cancer,2009,NCI,1R01CA134759-01A1,,Transposon-based screens for colorectal cancer genes,"LARGAESPADA, DAVID",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$313,325"
Colo-Rectal Cancer,2009,NCI,2R37CA082422-11,,Mechanisms of De Novo Methylation in Cancer,"JONES, PETER",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$450,944"
Colo-Rectal Cancer,2009,NCI,2R01CA106912-04A1,,HR-QOL in Colorectal Cancer Survivors with Stomas,"KROUSE, ROBERT",UNIVERSITY OF ARIZONA,AZ,"$444,408"
Colo-Rectal Cancer,2009,NIDDK,5R21DK075944-02,,Mechanisms of sensitzation in a rat model of chronic visceral hypersensitivity,"WINSTON, JOHN",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$188,750"
Colo-Rectal Cancer,2009,NCI,5K22CA115913-03,,Clinicopathology of IGF2 loss of imprinting in colon neoplasia,"CRUZ CORREA, MARCIA",UNIVERSITY OF PUERTO RICO MED SCIENCES,PR,"$158,337"
Colo-Rectal Cancer,2009,NCI,2R01CA072851-14,,Familial and Early Onset Colorectal Cancer,"BOLAND, CLEMENT",BAYLOR RESEARCH INSTITUTE,TX,"$342,796"
Colo-Rectal Cancer,2009,NCI,5R01CA120549-03,,3D Massive Training ANN for CAD for Colon Cancer in CT Colonography,"SUZUKI, KENJI",UNIVERSITY OF CHICAGO,IL,"$291,650"
Colo-Rectal Cancer,2009,NCI,5R01CA112230-04,,Gene-Environmental Risk Assessment and CRC Screening,"WEINBERG, DAVID",FOX CHASE CANCER CENTER,PA,"$538,910"
Colo-Rectal Cancer,2009,NINR,5R01CA112230-04,,Gene-Environmental Risk Assessment and CRC Screening,"WEINBERG, DAVID",FOX CHASE CANCER CENTER,PA,"$190,510"
Colo-Rectal Cancer,2009,NCI,2R01CA109861-04A1,,Spectroscopy of blood supply changes in early precancer,"BACKMAN, VADIM",NORTHWESTERN UNIVERSITY,IL,"$248,443"
Colo-Rectal Cancer,2009,NCI,2R01CA095195-06A1,,STRAP and Smad 7 Signaling in Colorectal Carcinomas,"DATTA, PRAN",VANDERBILT UNIVERSITY,TN,"$250,650"
Colo-Rectal Cancer,2009,NCI,1R01CA135379-01A1,,Diet and Gastrointestinal Cancer Risk in African Americans and Rural Africans,"O'KEEFE, STEPHEN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$514,052"
Colo-Rectal Cancer,2009,NIDDK,5R01DK053839-12,,Regulatory cascades in gastrointestinal proliferation,"KAESTNER, KLAUS",UNIVERSITY OF PENNSYLVANIA,PA,"$459,935"
Colo-Rectal Cancer,2009,NCI,1R01CA135300-01A1,,FXR signaling pathway is a valid target for chemoprevention in colorectal cancer,"SMITH, JEFFREY",BURNHAM INSTITUTE FOR MEDICAL RESEARCH,CA,"$571,328"
Colo-Rectal Cancer,2009,NCI,5K22CA128883-03,,Calcium Sensing Receptor Signaling in the Gastrointestinal Tract,"REY, OSVALDO",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$159,300"
Colo-Rectal Cancer,2009,NCI,5K07CA107079-05,,Patient Activation To Increase Colon Cancer Screening,"KATZ, MIRA",OHIO STATE UNIVERSITY,OH,"$135,108"
Colo-Rectal Cancer,2009,NCI,5R01CA124397-03,,Cancer Control Dissemination to Asian Americans,"TU, SHIN-PING",UNIVERSITY OF WASHINGTON,WA,"$310,889"
Colo-Rectal Cancer,2009,NCI,5K07CA102592-05,,Ginger for Chemoprevention of Colorectal Cancer,"ZICK, SUZANNA",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$135,998"
Colo-Rectal Cancer,2009,NIEHS,5R01ES015226-04,,The Environment and Epigenetic Gene Silencing in Cancer,"BAYLIN, STEPHEN",JOHNS HOPKINS UNIVERSITY,MD,"$589,543"
Colo-Rectal Cancer,2009,NCI,5U10CA069974-14,,Clinical Oncology Program Biostatistical Center,"COSTANTINO, JOSEPH",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$3,232,631"
